award,title,author_or_affiliation,source_url,publication_relation
一等奖,红船上的“王大耳”,中共诸城市委党校、诸城王尽美研究会 陈丽丽,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
一等奖,诗书映初心,青岛实验初级中学 刘禾,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
一等奖,初心之“光”,平度市融媒体中心 苗爱萍,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
一等奖,明湖凤凰血洒沂蒙,山东省作家协会 高远,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
一等奖,往事永不凋零,东平县第一中学 傅盛夏,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,工运先驱 忠诚为党,青岛格兰德中学 周泉,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,“跨界”青年刘一梦,山东省烈士事迹编纂和宣传教育中心 刘善强,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,雨花台上英雄花,广饶县退役军人事务局 吕全东,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,电波中永恒的红色信念,中共沂南县委党史研究中心 范为菊,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,投身革命坚如铁,威海马石山红色教育基地管理服务中心 仝明明,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,以身殉职的“两弹一星元勋”,荣成市革命烈士陵园管理服务中心 刘博,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,马石山十勇士,乳山市退役军人服务中心 王群,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,抗日“虎英雄”,龙口市七甲镇七甲学校 林志远,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,我理解的一位女英雄的心路历程,胶州市初级实验中学 韩晓雪,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
二等奖,济南战役中的“济南第二团”,济南革命烈士陵园（济南战役纪念馆） 杨珊珊,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,徐子兴卧底锄奸记,青岛市即墨区发展和改革局 孙婷,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,滴血哺女 青春永祭,郯城县第二实验小学 杨广华,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,他是中国共产党的忠实朋友,东平县退役军人事务局 姜广智,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,英雄母亲气节长存,泰山博文中学 龚子辰；泰安市泰山区退役军人事务局 朱宝华,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,把忠诚献给党的红色审计事业,山东省审计宣传教育中心 郑茂霞 耿天竹,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,一位抗日烈士母亲的回忆,龙口市七甲镇圈朱家村 王洪莲,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,少年英雄荣模,威海市文登区烈士陵园管理服务中心 孙华智,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,追寻杨子荣的足迹,黑龙江省七台河市日报社 刘国林,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,爆破攻坚建奇功,淄博市淄川区烈士纪念设施管理服务中心 王学刚,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
三等奖,潜艇兵之歌,青岛宁安路小学 夏琳琳,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,笔枪墨锋英雄气,青岛崂山保障房建设运营管理中心有限公司 李康平,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,用生命点亮潍南红色之火,安丘市政协 张漱耳,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,英雄永伴徂徕山,泰安市退役军人事务局 郭宾,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,携笔从戎 红动齐鲁,汶上县次邱镇孙口小学 孙恒昌,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,壮士头颅为党落,渤海革命老区纪念园 王伟,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,一封泛黄的革命书信,肥城市陆房红色教育基地管理中心 范继帅 刘太星 张长征,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,大青山上埋忠骨,沂南县沂南中学 董九祥,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,巾帼小英雄,龙口市徐福街道退役军人服务站 周小宁,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,英魂永驻马鞍山,淄博市淄川区退役军人事务局 徐晨子,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,铁道“赛诸葛”,肥城市退役军人事务局 路大本,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,平原枪声威震敌胆,嘉祥县退役军人事务局 郝明安,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,一介书生家国情,临沂日报报业集团 陈克锋,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,铁骨铮铮三姐弟,平度扬帆职业学校 孔瑞华,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,一个人的突袭战,莱州市住房和城乡建设管理局 曲京溪,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,英雄少年孙洪喜,郯城县第一实验小学 房梦迪,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,青年战斗英雄安保全,枣庄市革命烈士陵园 王宁,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,寻找我心中的你,胶州市李哥庄三屯小学 王子嫣,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,著名战斗英雄吴钦平,泰安市退役军人事务局 王传斌,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,焦裕禄的家风故事,淄博市淄川区退役军人事务局 杨帅,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,做一个大无畏的人,中共金乡县委宣传部 王伟,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,我家挂上了光荣牌,中共滨州市委党史研究院 方少亭,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,崂山抢险英雄魂,青岛实验初级中学 马艺菲,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,用血肉之躯筑起安全屏障,青岛市即墨区实验学校 姜立君,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
优秀奖,灭火英雄,嘉祥县职业中等专业学校 郝国良,https://tyjrj.taian.gov.cn/art/2023/2/6/art_255012_10298142.html,candidate_title
