entry,offset,encoding,score,string,neighbors_before,neighbors_after
paperweb/bin/Mvcb2b.dll,413552,utf16le,22,"{ ""pcpath"": """", ""mobilepath"": """"} ],""msg"":""",/images/logo.png | VGr Rd | bigpageid | .pdf,"^1Y% | ^Hrb | "",""page"":0 ,""success"":3 } | { ""pcpath"": """", ""mobilepath"": """" } ],""msg"":"""
paperweb/bin/Mvcb2b.dll,413719,utf16le,22,"{ ""pcpath"": """", ""mobilepath"": """" } ],""msg"":""","{ ""pcpath"": """", ""mobilepath"": """"} ],""msg"":"" | ^1Y% | ^Hrb | "",""page"":0 ,""success"":3 }","^1Y% | RhVP | "" ,""page"":0 ,""success"":0 } | { ""pcpath"": """
paperweb/bin/Mvcb2b.dll,433925,utf16le,22,"{ ""pcpath"": """", ""mobilepath"": """",""ismany"":0 ,""success"":0 } ] }",: <span style='color:red'> | </span> <a href='#' onclick='delfun( | );'> | </a></li>,""", ""ismany"":  | ,""success"":1 } | select top 1 a.id from e_eachqi as a right join e_eachedition as b on a.id=b.qiid order by a.totalqi desc   | select top 1 id from e_eachqi  order by totalqi desc  "
paperweb/bin/Mvcb2b.dll,354672,utf16le,16,"select qiid,pageid,numberid,pagetitle,pagepic,pagepdf,zoompic,ismany,isurl,pdfurl,addtime from E_eachedition where id=","N,gHr | [X[(W | g Rd | ');this.location.href='Editionmanage.aspx';</script>",pageid | numberid | pagetitle | pagepic
paperweb/bin/Mvcb2b.dll,413927,utf16le,12,""", ""mobilepath"": ""","^1Y% | RhVP | "" ,""page"":0 ,""success"":0 } | { ""pcpath"": """," ] ,""msg"":"" | gHrb | "" ,""page"": |  ,""success"":1}"
paperweb/bin/Mvcb2b.dll,317243,ascii,10,MakePhoto,SiteSetting | Classmanage | Useredit | CorpDelpic,Date_Qi | SessionEmpty | CorpUp | DingyueController
paperweb/bin/Mvcb2b.dll,413899,utf16le,10,"{ ""pcpath"": ""","{ ""pcpath"": """", ""mobilepath"": """" } ],""msg"":"" | ^1Y% | RhVP | "" ,""page"":0 ,""success"":0 }",""", ""mobilepath"": "" |  ] ,""msg"":"" | gHrb | "" ,""page"":"
paperweb/bin/Mvcb2b.pdb,13039,ascii,10,/src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\makephoto.aspx.cs,/src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\useredit.aspx.designer.cs | /src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\usermanage.aspx.designer.cs | /src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\corpdelpic.aspx.cs | /src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\areaclass.aspx.cs,/src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\monthqi.aspx.cs | /src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\controls\date_qi.ascx.cs | /src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\controls\upmappic.ascx.cs | /src/files/e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\jqueryfile\sessionempty.aspx.cs
paperweb/bin/Mvcb2b.pdb,181148,ascii,10,E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\MakePhoto.aspx.cs,E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\CorpDelpic.aspx.cs | e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\corpdelpic.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\Areaclass.aspx.cs | e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\areaclass.aspx.cs,e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\makephoto.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\Monthqi.aspx.cs | e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\monthqi.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\controls\Date_Qi.ascx.cs
paperweb/bin/Mvcb2b.pdb,181229,ascii,10,e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\makephoto.aspx.cs,e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\corpdelpic.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\Areaclass.aspx.cs | e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\areaclass.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\MakePhoto.aspx.cs,E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\Monthqi.aspx.cs | e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\jquery\monthqi.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\controls\Date_Qi.ascx.cs | e:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\mvcb2b\admin\controls\date_qi.ascx.cs
