source,timestamp,original,archive_url,mimetype,digest,reported_length,candidate_score,historical_identity,resource_type,http_ok,resolved_url,content_type,content_length,sha256,width,height,image_format,portrait_ratio,likely_fullpage,fetch_error
qlsn_bare,20150113052956,http://qlsn.com/upload/newsImg/2014-06/60cf3a14-430a-4757-83a1-e51ddd47d7f0.jpg,https://web.archive.org/web/20150113052956id_/http://qlsn.com/upload/newsImg/2014-06/60cf3a14-430a-4757-83a1-e51ddd47d7f0.jpg,image/jpeg,4XID24MFQ5CDDCCAPEYJIWFVADZ4YFQI,1353499,55,requires_context_verification,image,yes,https://web.archive.org/web/20150113052956id_/http://qlsn.com/upload/newsImg/2014-06/60cf3a14-430a-4757-83a1-e51ddd47d7f0.jpg,image/jpeg,1380625,53f242e8ed44399a23b92c1cea40e80038599bfb6eb1fe822b74f1e2c25f8ec1,1872,3328,JPEG,1.778,yes,
qlsn_bare,20150113073857,http://qlsn.com/upload/newsImg/2012-04/311f7b58-7c75-4809-a070-055822990497.jpg,https://web.archive.org/web/20150113073857id_/http://qlsn.com/upload/newsImg/2012-04/311f7b58-7c75-4809-a070-055822990497.jpg,image/jpeg,JLGQIFXKH56BU5YJDP3HEIKXOLO3OCBH,170631,70,requires_context_verification,image,yes,https://web.archive.org/web/20150113073857id_/http://qlsn.com/upload/newsImg/2012-04/311f7b58-7c75-4809-a070-055822990497.jpg,image/jpeg,177340,ccb61416f6c8c816b08ba30d7f94fae34a857800dc22b996fb8512f06fc91e36,640,425,JPEG,0.664,no,
qlsn_bare,20150113081631,http://qlsn.com/upload/newsImg/2012-05/0755afe1-b7f5-43cb-b6ef-fc4920541f82.JPG,https://web.archive.org/web/20150113081631id_/http://qlsn.com/upload/newsImg/2012-05/0755afe1-b7f5-43cb-b6ef-fc4920541f82.JPG,image/jpeg,DMWBP24AUKFVZVFNLJA5KEZIBZ23VYMR,8368237,70,requires_context_verification,image,yes,https://web.archive.org/web/20150113081631id_/http://qlsn.com/upload/newsImg/2012-05/0755afe1-b7f5-43cb-b6ef-fc4920541f82.JPG,image/jpeg,8395271,e0c207da260567540a3345f2df37e1635ae7a2c73c07e33aef1499ce6681cd33,4288,2848,JPEG,0.664,no,
qlsn_bare,20150113004743,http://qlsn.com/upload/newsImg/2014-06/2835eae6-bf24-45a6-9c59-162bbc0a0258.jpg,https://web.archive.org/web/20150113004743id_/http://qlsn.com/upload/newsImg/2014-06/2835eae6-bf24-45a6-9c59-162bbc0a0258.jpg,image/jpeg,HZBW7YRBK3LKQL466MFITIEJITJXXJJC,4775267,70,requires_context_verification,image,yes,https://web.archive.org/web/20150113004743id_/http://qlsn.com/upload/newsImg/2014-06/2835eae6-bf24-45a6-9c59-162bbc0a0258.jpg,image/jpeg,4816160,ce604cb7bd652ca7db93ec2d961788972e3fec5c62ff4692d7fc85e695393dad,4288,2848,JPEG,0.664,no,
qlsn_bare,20150113022854,http://qlsn.com/upload/newsImg/2014-07/1815d6a0-7890-4d12-b28e-4e3194e7f0b3.JPG,https://web.archive.org/web/20150113022854id_/http://qlsn.com/upload/newsImg/2014-07/1815d6a0-7890-4d12-b28e-4e3194e7f0b3.JPG,image/jpeg,FS4RYG6VSKEHODYM3R353ZT2B7B6UB2U,274994,70,requires_context_verification,image,yes,https://web.archive.org/web/20150113022854id_/http://qlsn.com/upload/newsImg/2014-07/1815d6a0-7890-4d12-b28e-4e3194e7f0b3.JPG,image/jpeg,285813,f781a5463d92e7de2e38d0e014646495249961d6a6b9ee9e3e6fc7d921c59953,640,480,JPEG,0.750,no,
qlsn_bare,20150113022250,http://qlsn.com/upload/newsImg/2011-07/1f77fc6b-a614-4b9e-8d73-02a3beefefe5.jpg,https://web.archive.org/web/20150113022250id_/http://qlsn.com/upload/newsImg/2011-07/1f77fc6b-a614-4b9e-8d73-02a3beefefe5.jpg,image/jpeg,JEND7V4NA5HHOIO5B4K2ORT5B7BEBWQL,333168,55,requires_context_verification,image,yes,https://web.archive.org/web/20150113022250id_/http://qlsn.com/upload/newsImg/2011-07/1f77fc6b-a614-4b9e-8d73-02a3beefefe5.jpg,image/jpeg,339682,d2e4a1c9ea1caab9d9ed0128f304a13e4039d5ad662c8f19d5ba514cc87a888a,1024,680,JPEG,0.664,no,
qlsn_bare,20150113041805,http://qlsn.com/upload/newsImg/2012-02/dd7d08a6-eb18-4ee9-8bf2-3369cee9160b.jpg,https://web.archive.org/web/20150113041805id_/http://qlsn.com/upload/newsImg/2012-02/dd7d08a6-eb18-4ee9-8bf2-3369cee9160b.jpg,image/jpeg,LE7YSQMMJFIPUP5MXDTHWX6QQZZPBGHV,216254,55,requires_context_verification,image,yes,https://web.archive.org/web/20150113041805id_/http://qlsn.com/upload/newsImg/2012-02/dd7d08a6-eb18-4ee9-8bf2-3369cee9160b.jpg,image/jpeg,215742,9c964816376acb66f7d57f56852e25bb3b23dd6657c37d1f1d1dd02d66c1ba3c,1024,675,JPEG,0.659,no,
qlsn_bare,20150113061228,http://qlsn.com/upload/newsImg/2012-10/4cf2239e-3334-4452-830e-cd7bdef14eb3.jpg,https://web.archive.org/web/20150113061228id_/http://qlsn.com/upload/newsImg/2012-10/4cf2239e-3334-4452-830e-cd7bdef14eb3.jpg,image/jpeg,ALTMHA6673KIIEUFGWOMVCFOQCKECFHK,2026777,55,requires_context_verification,image,yes,https://web.archive.org/web/20150113061228id_/http://qlsn.com/upload/newsImg/2012-10/4cf2239e-3334-4452-830e-cd7bdef14eb3.jpg,image/jpeg,2037190,d988111de934dff97a2b7177a2b4bdf7cd212f423c357b0e3ba3381914fcc6b7,3215,1638,JPEG,0.509,no,
qlsn_bare,20150113043454,http://qlsn.com/upload/newsImg/2012-10/eaebdfaa-fb2e-4e26-b1e7-1053118036e0.JPG,https://web.archive.org/web/20150113043454id_/http://qlsn.com/upload/newsImg/2012-10/eaebdfaa-fb2e-4e26-b1e7-1053118036e0.JPG,image/jpeg,R4JWRVOUSF4ZJRQUKZGA4IDE7XGLAE2F,150811,55,requires_context_verification,image,yes,https://web.archive.org/web/20150113043454id_/http://qlsn.com/upload/newsImg/2012-10/eaebdfaa-fb2e-4e26-b1e7-1053118036e0.JPG,image/jpeg,152300,470e0d91558121e5d5038141e8861c9ef8fc1492be2ddbbde9beb2eba242a1a2,640,428,JPEG,0.669,no,
qlsn_bare,20150113064338,http://qlsn.com/upload/newsImg/2013-02/7d843504-6fd7-4c77-9bf5-4cb52a68070e.jpg,https://web.archive.org/web/20150113064338id_/http://qlsn.com/upload/newsImg/2013-02/7d843504-6fd7-4c77-9bf5-4cb52a68070e.jpg,image/jpeg,P7BVSRX7BRFU6IX6SXQY4JKV3I2BTFQJ,141905,55,requires_context_verification,image,yes,https://web.archive.org/web/20150113064338id_/http://qlsn.com/upload/newsImg/2013-02/7d843504-6fd7-4c77-9bf5-4cb52a68070e.jpg,image/jpeg,145256,a2f456d8db0ce8e7db1ca7908045c3b602bb1108c00883c878a593d01272aa2b,640,443,JPEG,0.692,no,
