issue_number,publication_date,normalization_status,evidence_kind,source_url,source_post_or_page_date,notes
294,,false_positive,typo_corrected_to_924,http://www.qlsn.com/sdbook/?/105-1-0-1-1.html,2010-06-12,User wrote '2020年的6月8日第294期'; replies correct this to 2010-06-08 issue 924. Do not count 294.
898,2009-12-08,valid_issue_outside_2010,official_home_path_plus_forum_sample_request,http://www.qlsn.com/sdbook/?/16-1-0-1-1.html,2010-01-06,Forum asks for issue 898; weekly sequence anchored at issue 924 places issue 898 on 2009-12-08.
913,2010-03-23,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/23-1-0-1-1.html,2010-03-11,Title: “烦恼防火墙”第三波！（913期）. Publication date is inferred_weekly.
915,2010-04-06,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/27-1-0-1-2.html,2010-03-11,Title explicitly includes 915期. Publication date is inferred_weekly.
917,2010-04-20,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/28-1-0-1-5.html,2010-03-11,Title explicitly includes 917期. Publication date is inferred_weekly.
918,2010-04-27,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/26-1-0-1-3.html,2010-03-11,Title explicitly includes 918期. Publication date is inferred_weekly.
920,2010-05-11,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/51-1-0-1-5.html,2010-04-28,Title explicitly includes 920期. Publication date is inferred_weekly.
924,2010-06-08,valid_2010_issue,direct_forum_publication_date,http://www.qlsn.com/sdbook/?/105-1-0-1-1.html,2010-06-14,Forum reply explicitly says '2010年的6月8日第924期吧'.
925,2010-06-15,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/56-1-0-1-3.html,2010-04-28,Title explicitly includes 925期. Publication date is inferred_weekly.
926,2010-06-22,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/57-1-0-1-2.html,2010-04-28,Title explicitly includes 926期. Publication date is inferred_weekly.
927,2010-06-29,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/58-1-0-1-2.html,2010-04-28,Title explicitly includes 927期. Publication date is inferred_weekly.
928,2010-07-06,valid_2010_issue,official_forum_issue_anchor,http://www.qlsn.com/sdbook/?/59-1-0-1-4.html,2010-04-28,Title explicitly includes 928期. Publication date is inferred_weekly.
944,2010-10-26,valid_2010_issue,official_forum_sample_request,http://www.qlsn.com/sdbook/?/204-1-0-1-4.html,2010-12-12,Forum title asks for issue 944 sample. Publication date is inferred_weekly.
965,2011-03-22,valid_issue_outside_2010,official_forum_sample_request,http://www.qlsn.com/sdbook/?/753-1-0-1-2.html,2011-07-07,Thread '跪求965期和967期样报' is from 2011; raw miner inherited an unrelated 2010 date from page context.
967,2011-04-05,valid_issue_outside_2010,official_forum_sample_request,http://www.qlsn.com/sdbook/?/753-1-0-1-2.html,2011-07-07,Same 2011 sample-request thread; not a 2010 issue.
