post_id,view,request_url,resolved_url,status,bytes,content_type,media_refs,unique_media_refs,error
blog_4c4fc7d9010116nf,desktop_https,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nf.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nf.html,200,14648,text/html,0,0,
blog_4c4fc7d9010116nf,desktop_http,http://blog.sina.com.cn/s/blog_4c4fc7d9010116nf.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nf.html,200,14648,text/html,0,0,
blog_4c4fc7d9010116nf,mobile_https,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nf.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nf.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116nf,mobile_http,http://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nf.html,http://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nf.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116ni,desktop_https,https://blog.sina.com.cn/s/blog_4c4fc7d9010116ni.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116ni.html,200,14628,text/html; charset=UTF-8,0,0,
blog_4c4fc7d9010116ni,desktop_http,http://blog.sina.com.cn/s/blog_4c4fc7d9010116ni.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116ni.html,200,14660,text/html,0,0,
blog_4c4fc7d9010116ni,mobile_https,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116ni.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116ni.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116ni,mobile_http,http://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116ni.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116ni.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116nl,desktop_https,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nl.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nl.html,200,14638,text/html,0,0,
blog_4c4fc7d9010116nl,desktop_http,http://blog.sina.com.cn/s/blog_4c4fc7d9010116nl.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nl.html,200,14638,text/html,0,0,
blog_4c4fc7d9010116nl,mobile_https,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nl.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nl.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116nl,mobile_http,http://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nl.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nl.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116nn,desktop_https,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nn.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nn.html,200,14640,text/html,0,0,
blog_4c4fc7d9010116nn,desktop_http,http://blog.sina.com.cn/s/blog_4c4fc7d9010116nn.html,https://blog.sina.com.cn/s/blog_4c4fc7d9010116nn.html,200,14640,text/html,0,0,
blog_4c4fc7d9010116nn,mobile_https,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nn.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nn.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d9010116nn,mobile_http,http://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nn.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d9010116nn.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d901011cp9,desktop_https,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,200,14540,text/html; charset=UTF-8,4,1,
blog_4c4fc7d901011cp9,desktop_http,http://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,200,14570,text/html,4,1,
blog_4c4fc7d901011cp9,mobile_https,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d901011cp9.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d901011cp9.html,200,335,text/html; charset=utf-8,0,0,
blog_4c4fc7d901011cp9,mobile_http,http://blog.sina.cn/dpool/blog/s/blog_4c4fc7d901011cp9.html,https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d901011cp9.html,200,335,text/html; charset=utf-8,0,0,
