timestamp,original,archive_url,score,http_status,resolved_url,content_type,encoding,title,description,keywords_meta,identity_hits,identity_hit_count,visible_text_excerpt,link_count,image_count,fetch_error
20070623224142,http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,166,200,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,text/html,gb18030,齐鲁少年 - 首页,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报|小记者,4,齐鲁少年 - 首页 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 帐 号： 密 码： 尚未注册? 遗忘密码? 我的队报我作主，选出你最喜爱的报标！ (2007-6-14) 手拉手 共进步 (2007-1-18) 沟通让爱的心靠得更近 (2007-1-18) 高青县樊林小学 (2006-12-30) 探源村名文化 (2006-12-11) 我的队报我作主，选出你... (2007-6-14) 想成为齐鲁少年小记者的... (2006-11-28) 我的队报我做主——《齐... (2006-10-20) 作文咚咚锵《感动瞬间》... (2006-10-20) 关于开展红领巾“长征7... (2006-10-16) 当前在线： 2 人 最高记录： 137 人在线 时间：2006-5-1 16:49:38 文章总数：137 篇 下载总数：19 个 图片总数：42 张 [ 习作精选 ] [ 电脑知识 ] [ 家庭教育 ] [ 成长乐园 ] [ 名师讲坛 ] [ 名师讲坛 ] 你知道1+1＞2吗 2007-1-18 [ 习作精选 ] 成功来自努力 2007-1-18 [ 习作精选 ] 我的同桌 2007-1-18 [ 习作精选 ] 神奇的大自然 2007-1-18 [ 习作精选 ] 妈妈，我想对您说 2007-1-18 [ 习作精选 ] 森林里的春节联欢晚会 2007-1-18 关键字： 类别： 新闻 美文选登 软件下载 图片 IP地址：64.208.172.172 操作系统：ia_archiver搜索器 浏览器：unknownunknown [ 好玩游戏 ] 阿达脑筋急转弯 v2.0 2006-9-28 [ 好玩游戏 ] 连连看 v3.9 简体中文完全版 2006-9-28 [ 常用软件 ] My MPC 系列·暴风影音 v6.... 2006-9-28 [ 常用软件 ] FoxMail v5.0.800.0... 2006-9-28 [ 常用软件 ] BitComet v0.73 多国语... 2006-9-28 [ 常用软件 ] Web迅雷 v1.2.3.53 2006-9-28 [ 常用软件 ] [ 好玩游戏 ] 申请加入 更多链接 [ 图片新闻 ] 全国主要城市天气预报 查看新帖 :: 关于我们 :: 联系管理员 :: 友情链接 :: 版权声明 :: 齐鲁少年报简介 :: 联系我们 :: 后台管理 Copyright © 2004 - 2005 程序核心: qlsn.com 效果美化: 苍天一笑 . All Rights Reserved. 页面执行时间：265.625 毫秒,80,54,
20040804133449,http://www.qlsn.com/page/P1.htm,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,88,200,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,text/html,gb18030,齐鲁少年,,,齐鲁少年|少先队|编辑部|读者,4,齐鲁少年 首页 老编新谈 ******** ******** 关于我们 少年论坛 当前位置： 首页 --关于我们 《齐鲁少年》简介 《齐鲁少年》报创刊于1992年10月，是山东省少工委的机关报，以中高年级少先队员为服务对象。4开4版，彩色印刷，每周二出版。月末出版相应的A、B、C、D版，均为彩色印刷。 《齐鲁少年》报版面内容丰富多彩，生动活泼。一版主要内容是发布省少工委的最新工作动向，宣传推广全省各级少先队组织开展的特色活动。另外，“知心姐姐”还在一版专门开设了专栏，帮助少年儿童解除成长的烦恼。二版主要内容是学习指导和少年文摘。“学习指导”介绍一些语文、数学、英语、历史、地理等科目的好的学习方法，解惑释疑；“少年文摘”介绍世界各地，古今中外，奇闻趣事，以及当前最具时代特征的科普知识。三版主要内容是学生习作，刊登全省少年儿童的佳作和诗文。四版刊载一些有益少年儿童身心健康的卡通连环画。月末Ａ版为“焦点新闻调查”，讨论少年儿童感兴趣的热门话题。Ｂ版为“家教”版，向爸爸妈妈们介绍一些有效有益的教育方法，为爸爸妈妈们分担忧愁。Ｃ版是“少年电脑大世界”，专门帮助爱好电脑的小读者学电脑、玩电脑、精电脑，而且通俗易懂。Ｄ版是“齐奇的玩乐世界”，整个一个“玩”的天地，小读者们可以从这里学到许许多多有益身心健康的玩乐方法。 目前，《齐鲁少年》报已有幸加入全国少儿报刊协会，从整体策划、版面设计，到信息容量，采编质量都有了很大的提高，得到全国许多少儿报刊的普遍认可和赞同。 WWW.QLSN.COM 版权所有: 齐鲁少年编辑部 地址：济南市英雄山路4号 电话：2073865,9,11,
20070623224348,http://www.qlsn.com/announce_list.asp,https://web.archive.org/web/20070623224348id_/http://www.qlsn.com/announce_list.asp,86,200,https://web.archive.org/web/20070623224348id_/http://www.qlsn.com/announce_list.asp,text/html,gb18030,齐鲁少年 - 公告列表,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报|小记者,4,齐鲁少年 - 公告列表 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 关键字： 类别： 新闻 美文选登 软件下载 图片 新闻列表 | 公告列表 公 告 列 表 我的队报我作主，选出你最喜爱的报标！ 2007-6-14 想成为齐鲁少年小记者的小朋友快来吧 2006-11-28 我的队报我做主——《齐鲁少年》口号... 2006-10-20 作文咚咚锵《感动瞬间》有奖征文获奖... 2006-10-20 关于开展红领巾“长征70”主题教育... 2006-10-16 关于评选、推荐优秀小记者及优秀作品... 2006-10-13 山东省红领巾理事会倡议书 2006-9-28 隆重推出“超级作文PK榜” 2006-9-28 本站全面改版! 2006-5-1 分页： [首页][上页][下页][尾页] [共 9 条][ 1 /1页][ 20 条/页] :: 关于我们 :: 联系管理员 :: 友情链接 :: 版权声明 :: 齐鲁少年报简介 :: 联系我们 :: 后台管理 Copyright © 2004 - 2005 程序核心: qlsn.com 效果美化: 苍天一笑 . All Rights Reserved. 页面执行时间：171.875 毫秒,30,11,
20070623223133,http://www.qlsn.com/announce_view.asp?id=68,https://web.archive.org/web/20070623223133id_/http://www.qlsn.com/announce_view.asp?id=68,86,200,https://web.archive.org/web/20070623223133id_/http://www.qlsn.com/announce_view.asp?id=68,text/html,gb18030,齐鲁少年 - 浏览公告,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报|少先队,4,齐鲁少年 - 浏览公告 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 关键字： 类别： 新闻 美文选登 软件下载 图片 新闻列表 | 公告列表 浏览文章 关于开展红领巾“长征70”主题教育活动的通知 【日期】2006-10-16 各市红领巾理事会： 1935 年 10 月，中央红军取得了 2 万 5 千里长征的伟大胜利； 1936 年 10 月，其余几路红军也完成了长征，各路红军在会宁大会师，伟大的、艰苦卓绝的长征取得了完全胜利。为纪念红军长征胜利 70 周年，深入落实中宣部、教育部、团中央关于“民族精神月”的《通知》精神，山东省红领巾理事会决定在全省少先队员中开展红领巾“长征 70 ” 主题教育活动。 一、 活动目的 全省中、小学少先队员通过参与活动，进一步回首长征，了解长征，继承长征的伟大精神，知“八荣”，明“八耻”，好好学习，好好锻炼，提高自身素质，做合格的社会主义事业接班人。 二、 活动内容 组织全体少先队员完成“六个一”：走一次模拟长征，唱一首长征歌曲，读一本长征书籍，看一部长征影视，访一位革命前辈，创一篇（幅）长征作品。 我们的行动口号：新长征，我——能——行！ 我们的行动标志：寓意是“长征胜利 70 周年” 。 三、 方法步骤 9 月初，各红理会、各少大队委全面发动。 9 月 20 日 前走模拟长征，各大队要举行 出征仪式 ， 然后 以大队或中队为单位，执队旗，背背包，在校内或校外集体至少远足 2.5 里（即长征的万分之一）。可结合红色旅游，要注意安全。 10 月 31 日 前创长征作品，作文、绘画、摄影均可，努力表现 “六个一”的某个情节。 题目自拟。 在稿纸上部（见附件 2 ）注明所在市、县市区、学校、年级、姓名。低年级可用拼音。每大队推选 3 件作品，速寄 “ 264201 威海市孙家疃葡萄滩路 89 号转省红领巾理事会 ”。 四、 表彰奖励 全省评出优秀作品 100 篇（幅）。 五．注意事项 1. 本次“长征”是对全省各级少先队组织的组织建设、组织能力的一次大检阅，是对少先队员进行“八荣八耻”教育和革命传统教育的良好契机，各级理事会、少总队委、少大队委、少中队委，不得弃权，不留死角，人人“长征”，个个体验，造成齐鲁大地千万条红领巾“大长征”的局面。 2 ．个别暂无红理会的市，要组成由现任省理事为主席的临时“××市红领巾理事会”，方可组织带领本市“小红军”去“长征”。各级红理会要将活动情况报当地少工委 ( 见附件 1) 。 3 ． 各单位的活动要征得团委、教育局领导及校长们的同意和支持，科学安排活动时间，不准干扰学校的正常教学秩序。 4 ．各单位要请辅导员帮忙，请辅导员参与组织，分兵把口，确保安全，确保胜利。 5. 此次活动由省少工委办公室主办，山东省红领巾理事会承办，,24,2,
20070625133349,http://www.qlsn.com/lianxi.asp,https://web.archive.org/web/20070625133349id_/http://www.qlsn.com/lianxi.asp,86,200,https://web.archive.org/web/20070625133349id_/http://www.qlsn.com/lianxi.asp,text/html,gb18030,齐鲁少年 - 我们的团队,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报|编辑部,4,齐鲁少年 - 我们的团队 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 联系我们 电话： 编辑室 0531－82073897 发行室 0531－82073865 传真 ： 0531－82065362 Email： 发行室 qlshn123@sina.com 编辑室 新闻一版 qlshn123@yahoo.com.cn 学习版文摘版 qlshnwzh@sohu.com 习作版 qlshn@163.com 编辑部主页：www.qlsn.com 编辑部地址：山东省济南市英雄山路4号 邮编：250002 :: 关于我们 :: 联系管理员 :: 友情链接 :: 版权声明 :: 齐鲁少年报简介 :: 联系我们 :: 后台管理 Copyright © 2004 - 2005 程序核心: qlsn.com 效果美化: 苍天一笑 . All Rights Reserved. 页面执行时间：156.250 毫秒,23,1,
20071225123500,http://www.qlsn.com/bbs/boardstat.asp?action=lasttopicnum&boardid=0,https://web.archive.org/web/20071225123500id_/http://www.qlsn.com/bbs/boardstat.asp?action=lasttopicnum&boardid=0,6,200,https://web.archive.org/web/20071225123500id_/http://www.qlsn.com/bbs/boardstat.asp?action=lasttopicnum&boardid=0,text/html,gb18030,"主题数[齐鲁少年论坛] -- Powered By Dvbbs.net,2007-12-25 20:40:01",,"齐鲁少年,齐鲁少年报,少年,少年报,少年论坛,论坛,齐鲁",齐鲁少年|齐鲁少年报|少年报|校园,4,"主题数[齐鲁少年论坛] -- Powered By Dvbbs.net,2007-12-25 20:40:01 dvbbs 收藏本页 联系我们 论坛帮助 dvbbs 网站地图 豆豆主持 雨虹主持 紫色风铃主持 西门吹雪主持 欣欣姐姐主持 小溪姐姐主持 休闲区 动网论坛 官方论坛 博客(boke/blog) >> 欢迎光临 齐鲁少年论坛 齐鲁少年论坛 → 论坛状态 → 主题数 今日帖数图例 主题数图例 总帖数图例 在线图例 在线情况 用户组在线图例 目前 齐鲁少年论坛 今日帖数：1317 帖子总数：13531 主题总数：10437 论坛名称 图型比例 主题数 紫色风铃主持 2713 雨虹主持 2439 休闲区 1613 豆豆主持 1381 小溪姐姐主持 771 欣欣姐姐主持 763 西门吹雪主持 759 我的学习秘笈 680 诗歌散文 608 七嘴八舌 608 记事写人 594 校园信息集中营 589 家庭教育专区 551 小小讨论台 542 美图基地 434 动漫天地 403 音乐殿堂 403 辅导员手记 402 欣欣姐姐 398 心语快递 396 酸枣刺 390 发短信 我能做什么 我发表的主题 我参与的主题 基本资料修改 用户密码修改 联系资料修改 用户短信服务 编辑好友列表 用户收藏管理 个人文件管理 今日贴数图例 主题数图例 总帖数图例 在线图例 在线情况 用户组在线图例 文件集浏览 图片集浏览 Flash浏览 音乐集浏览 电影集浏览 贺卡发送 网上贸易 创造奇迹! 阿里巴巴 Alibaba Powered By Dvbbs Version 7.1.0 Sp1 Copyright ©2000 - 2005 qlsn .com",71,23,
20140209042831,http://qlsn.com/webs/index.aspx,https://web.archive.org/web/20140209042831id_/http://qlsn.com/webs/index.aspx,163,200,https://web.archive.org/web/20140209042831id_/http://qlsn.com/webs/index.aspx,text/html; charset=utf-8,utf-8,山东省青少年活动中心 | 放飞希望的田野,,,齐鲁少年|小记者|校园,3,山东省青少年活动中心 | 放飞希望的田野 山青世界 少年科学院 首页 中心概况 中心简介 组织机构 荣誉资质 联系我们 新闻中心 招生信息 招生快讯 培训天地 教管部 文体部 书画部 舞蹈部 音乐部 学前部 艺术团 主题活动 公益活动 大型赛事 科普活动 夏冬令营 文化交流 知识锦囊 山青世界 山青时讯 品牌活动 会培服务 山青记忆 社团风采 社团介绍 活动动态 精彩瞬间 团队建设 支部生活 员工风采 理论研究 学习园地 领导讲话 文件政策 教育观察 励志文章 他山之石 物业管理 物业公司 工作动态 安全预案 原创秀场 学员展示 《山青苑》 银杏树下 摄影艺术 媒体聚焦 媒体报道 家长信箱 公告通知 关于举办首届山东省少年儿童音乐艺术大赛的通知 关于开展“作风建设年”活动的实施方案 新闻中心 更多>> 教务部召开新年工作会 2014-02-08 山东商报刊登“山东省青少年活动中心春季招生开始了” 2014-02-08 活动中心荣获《山东商报》2013年度最具实力、最具公益品牌 2014-02-08 温暖慰问迎新春 2014-02-07 活动中心召开2013年度总结表彰大会 2014-01-25 首届山东省少年儿童音乐艺术大赛圆满落幕 2014-01-25 教务部组织培训部门进行安全检查 2014-01-25 舞蹈部参加济南电视台少儿春晚 2014-01-25 活动中心荣获2013年度团省委“先进集体”称号 2014-01-25 首届山东省少年儿童音乐艺术大赛圆满成功 2014-01-24 培训天地 教管部 文体部 书画部 舞蹈部 音乐部 学前部 艺术团 查看更多 池墨泼飞云、紫毫挥广宇 ——书画部首届书法临帖展 舞蹈的表现形式——集体舞 [艺术团] 老约翰·施特劳斯《拉德斯基进行曲》赏析 [艺术团] 贝多芬第三交响曲——《英雄》 [艺术团] 琴瑟和鸣乐声起 迎来泉城满市春 [艺术团] 中国歌剧的发展 [艺术团] 肖斯塔科维奇与代表作《节日序曲》 [艺术团] 中国交响乐的发展 [艺术团] 气势磅礴的进行曲——拉科奇进行曲 [艺术团] 西洋古典音乐史（二） [艺术团] 西洋古典音乐史（一） [艺术团] 西洋古典音乐史（四） 主题活动 公益活动 大型赛事 科普活动 夏冬令营 文化交流 知识锦囊 查看更多 情系鲁北 关爱青少年成长----“山青流动少年宫-走进滨州”活动顺利开展 2011年韩国庆尚南道青少年交流活动圆满结束 [夏冬令营] 关于组织2013年“山东省少年科学院院士教育考察团”赴美国进行考察交流活动的通知 [夏冬令营] 2013齐鲁少年澳洲游学团 [夏冬令营] 关于组织2012年“山东省青少年中澳文化交流团”赴澳大利亚进行游学活动的通知 [夏冬令营] 关于组织2012年“山东省少年科学院院士科学交流团”赴加拿大进行考察交流活动的通知 [大型赛事] 山东选,311,42,
20070623223054,http://www.qlsn.com/article_view.asp?id=216,https://web.archive.org/web/20070623223054id_/http://www.qlsn.com/article_view.asp?id=216,86,200,https://web.archive.org/web/20070623223054id_/http://www.qlsn.com/article_view.asp?id=216,text/html,gb18030,齐鲁少年 - 浏览文章,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报,3,齐鲁少年 - 浏览文章 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 森林里的春节联欢晚会 【日期】2007-1-18 【人气】94 【作者】齐鲁少年 【来源】齐鲁少年（745期） 一年一度的春节又来了，动物们填饱了肚子，就来到了老榆树下，它们要在这儿举行春节联欢晚会。 动物们坐下，没有人因座位争吵，不像人类似的，因为它们有一个规定：平时要互相谦让，不准发生争吵。这是狮子大王的规定。 “女士们、先生们，大家晚上好！”大家热烈地鼓起掌来。“今天是春节，我代表后台的工作人员祝大家节日快乐，合家欢乐！”漂亮的主持人顿了顿，又说：“下面请欣赏第一个节目，是由天鹅小姐们表演的芭蕾舞《天鹅湖》。” 一群美丽洁白的天鹅上了台，轻盈地翩翩起舞，像一朵朵含苞欲放、娇美傲丽的茉莉花。台下所有的观众都看得入了迷。 第一个节目表演完了，急性的老虎等不及主持人报幕就上来了：“下面我为大家表演歌曲《好汉歌》。”老虎说完，就唱了起来。动物们觉得老虎唱得很有气势。 接下来，是黄鹂小姐和百灵姑娘的女声二重唱。听得动物们心花怒放，都感觉耳朵不够用了。 该小猫花花和点点上台了，它们跳的是牛仔舞，活泼可爱，真像两个小精灵。台下的观众也跟着跳了起来，它们的号召力可真强呀。 这回轮到狗先生了。狗先生早就等急了，可是他却假装不着急，沉稳地大步向前走，真像个绅士：头微微仰起，眼睛闭上，双手拎住领口，往前一拉一拉的。“咕咚！”一个刺耳的声音传入耳朵，原来，狗先生在上台阶时，光顾得潇洒了，根本没看路，一下子摔倒了，头上撞了一个大包。原本一首动听的男高音成了《哎呦哎呦之歌》！这可惹恼了浣熊先生。因为浣熊先生准备唱SHE的《IO》，所以他把“哎呦”听成了《IO》了，可是这是春节呀，怎么办呢，只好忍了，不然的话早把狗先生揍扁了，哈哈。 这个春节，动物们过得很愉快。 山东大学第一附属小学四（2）孟 响 指导教师 迟红梅 【 评论 】【 打印 】 相关评论 ·暂时没有评论 查看更多评论或参加评论 :: 关于我们 :: 联系管理员 :: 友情链接 :: 版权声明 :: 齐鲁少年报简介 :: 联系我们 :: 后台管理 Copyright © 2004 - 2005 程序核心: qlsn.com 效果美化: 苍天一笑 . All Rights Reserved. 页面执行时间：187.500 毫秒,27,1,
20070623224326,http://www.qlsn.com/article_view.asp?id=219,https://web.archive.org/web/20070623224326id_/http://www.qlsn.com/article_view.asp?id=219,86,200,https://web.archive.org/web/20070623224326id_/http://www.qlsn.com/article_view.asp?id=219,text/html,gb18030,齐鲁少年 - 浏览文章,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报,3,齐鲁少年 - 浏览文章 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 我的同桌 【日期】2007-1-18 【人气】151 【作者】齐鲁少年 【来源】齐鲁少年（745期） 唉，老师怎么让他和我一个桌呢？他可是我们班男生里最凶的一个啦！ 我偷偷地瞅了他一眼，他正埋头写什么，那长长的脸，上翘的鼻子，还有一张噘噘嘴，在我眼里有些讨厌，真不愿意让他做我的同桌。 但慢慢地，我发现他并不像我原来认为的那么讨厌。有一次，我的钢笔帽不见了，我找了桌子腿的四周没有，又把板凳的前面和后面都找遍了，还是没有找到。我自言自语地说：“我的钢笔帽在哪里呢？”他听了这话，就默默地帮我找了起来，后来终于在讲台的角落里找到了我丢失的钢笔帽。原来他还有那么热心的一面啊！ 我感觉自己过去真是误会同桌了。 邹城市太平镇秦庄小学三年级 秦竹君 指导教师 张义华 【 评论 】【 打印 】 相关评论 ·暂时没有评论 查看更多评论或参加评论 :: 关于我们 :: 联系管理员 :: 友情链接 :: 版权声明 :: 齐鲁少年报简介 :: 联系我们 :: 后台管理 Copyright © 2004 - 2005 程序核心: qlsn.com 效果美化: 苍天一笑 . All Rights Reserved. 页面执行时间：187.500 毫秒,27,1,
20070625133830,http://www.qlsn.com/article_view.asp?id=221,https://web.archive.org/web/20070625133830id_/http://www.qlsn.com/article_view.asp?id=221,86,200,https://web.archive.org/web/20070625133830id_/http://www.qlsn.com/article_view.asp?id=221,text/html,gb18030,齐鲁少年 - 浏览文章,欢迎登陆齐鲁少年网站,齐鲁少年,齐鲁少年|齐鲁少年报|少年报,3,齐鲁少年 - 浏览文章 网站首页 | 本报新闻 | 公告栏 | 美文选登 | 快乐下载 | 图片 | 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 你知道1+1＞2吗 【日期】2007-1-18 【人气】135 【作者】齐鲁少年 【来源】齐鲁少年（745期） 小问兜的话：大家一定很想知道今天来的神秘嘉宾是谁吧？由于他送给大家的见面礼太需要精心准备了，所以推迟一期和大家见面。快点欢迎济宁市任城区实验小学的王兆勤老师吧。为什么说他神秘？因为他能教你学课文和学作文一举两得呀。好了，还是赶快来听听王老师的“写作秘笈”吧！ 课本=优秀作文选 我们都知道“读书破万卷，下笔如有神”，说的是读书和作文的关系很密切。书读得多，读得好，写起文章来自然得心应手。这条宝贵的学习经验，对一些认为作文难写，对写作文不感兴趣的同学，是一剂对症的良药。即使对作文很感兴趣，成绩不错的同学，也会有很大的启发哦！ 好书能塑造一个人选书好比选朋友，无益的书也会逐渐让人变得平庸。在这里向大家强烈推荐对你有用的书：课本。如果能把读课文当成是在读一本经典作文选，心理上学习的压力也会减轻了呢！ 入选语文课本的文章，每一篇都是内容健康、语言优美、表现得法的优秀“作文”。这些文章，体裁多样，程度适当，能够全面地体现我们应当掌握的作文基础知识和基本技能。其中的“习作例文”，应当是我们写作文时的参照；“读写例话”则深入浅出地告诉我们系统的读写知识；还有“基础训练”中的许多习题。不但指导我们应当写些什么，还把学习方法渗透在中间，让我们去体会琢磨。如果不重视或不懂得利用语文课文去多方面地学习作文，提高自己的习作能力，那实在是太可惜了！ 模仿：打好基本功 我们都知道，“模仿”是一种重要的学习方法，习字要临帖，画画要临摹，作文也要从模仿开始。模仿什么呢？一个很重要的渠道就是模仿课文。当然，模仿只是一种手段，一种学习过程。模仿使我们能逐步懂得写作的基本规律，熟练了，便能“仿中有创新”。只要我们勤于动脑，在生活中认真观察体会，才能最后完全独立地写出富有创造性的好作文来。正确的模仿，不会影响你的创造性，因为一切创造活动都是从模仿开始的。模仿，反而能使你在初学作文阶段增加成功的体验，增强写好作文的信心。 学好课文和写好作文，本来就有密切的关系。从某一方面来看，如果读书是吸收，那么作文就是表达；吸收不好，表达就有困难。再换一个角度来说，如果把读书看成是研究别人怎么写，那么作文就是自己学着怎么写了。所以从课文中学写作文，是学作文的基本方法，也是学课文的重要途径。 1+1＞2的秘密 把学课文与写作文结合为一个整体，它所产生的学习效果，要远远超过孤立地学课文加上孤立地写作文。如果说，学课文与写作文互不联系或很少联系，是“1＋1,27,1,
