kind,original_url,archive_url,status,bytes,content_type,sha256,error
root,http://szb.cnssiot.cn/,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/,recovered,9953,text/html; charset=gb2312,6de9ce06d83aa6ec03a1e0d521bb3dde780493c8feb4a7bcd53ce44e86de76ab,
script,http://szb.cnssiot.cn/Comja/pubmobile.js,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Comja/pubmobile.js: HTTPError: HTTP Error 404: NOT FOUND
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/calendarshowblue.js,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/js/calendarshowblue.js: HTTPError: HTTP Error 404: NOT FOUND
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/calendarstartblue.js,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/js/calendarstartblue.js: URLError: <urlopen error timed out>
script,http://szb.cnssiot.cn/jquery/readtitle,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle: URLError: <urlopen error timed out>
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/slidedata.js?t=20200930,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/js/slidedata.js?t=20200930: HTTPError: HTTP Error 404: NOT FOUND
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/weixinshare2019.js?t=20190409,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/js/weixinshare2019.js?t=20190409: HTTPError: HTTP Error 404: NOT FOUND
style,http://szb.cnssiot.cn/,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/,recovered,9953,text/html; charset=gb2312,6de9ce06d83aa6ec03a1e0d521bb3dde780493c8feb4a7bcd53ce44e86de76ab,
style,http://szb.cnssiot.cn/Content/themes/mobileslide/css/style.css?t=2020111702,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/css/style.css?t=2020111702: HTTPError: HTTP Error 404: NOT FOUND
style,http://szb.cnssiot.cn/Content/themes/mobileslide/css/swiper.css,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/css/swiper.css: HTTPError: HTTP Error 404: NOT FOUND
style,http://szb.cnssiot.cn/Content/themes/mobileslide/css/showimg.css?t=20181020,,unrecovered,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Content/themes/mobileslide/css/showimg.css?t=20181020: HTTPError: HTTP Error 404: NOT FOUND
