kind,value,source
article_route,http://szb.cnssiot.cn/content/2021-12/25/001051.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition326_A1.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition327_A3.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition328_A4.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition329_A5.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition330_A6.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition331_A7.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition332_A8.html,root_snapshot
edition_route,http://szb.cnssiot.cn/content/2021-12/25/edition333_A2.html,root_snapshot
endpoint,http://szb.cnssiot.cn/jquery/readtitle,root_snapshot
html_img,http://szb.cnssiot.cn/Content/themes/mobileslide/images/help.png,root_snapshot
html_img,http://szb.cnssiot.cn/Content/weixinlogo.png,root_snapshot
html_img,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,root_snapshot
html_link,http://szb.cnssiot.cn/,root_snapshot
html_link,http://szb.cnssiot.cn/Search/Advanced,root_snapshot
html_link,http://szb.cnssiot.cn/about/aboutus,root_snapshot
html_link,http://szb.cnssiot.cn/about/contribute,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/001051.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition326_A1.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition327_A3.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition328_A4.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition329_A5.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition330_A6.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition331_A7.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition332_A8.html,root_snapshot
html_link,http://szb.cnssiot.cn/content/2021-12/25/edition333_A2.html,root_snapshot
html_link,http://szb.cnssiot.cn/review,root_snapshot
image,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,root_snapshot
mobile_asset_fragment,mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg,root_snapshot
script,http://szb.cnssiot.cn/Comja/pubmobile.js,root_snapshot
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/calendarshowblue.js,root_snapshot
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/calendarstartblue.js,root_snapshot
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/slidedata.js?t=20200930,root_snapshot
script,http://szb.cnssiot.cn/Content/themes/mobileslide/js/weixinshare2019.js?t=20190409,root_snapshot
script,http://szb.cnssiot.cn/jquery/readtitle,root_snapshot
