token,offset,context
mobile202112245170816f8aaf438f9a1a9119831a2eab,1195,"style"" content=""black""> <meta name=""format-detection"" content=""telephone=no""> <title>齐鲁少年</title> <meta name=""keywords"" content=""齐鲁少年""> <meta name=""description"" content=""齐鲁少年""> <meta content=""always"" name=""referrer"" > <link rel=""canonical"" href=""http://szb.cnssiot.cn/"" > <link href=""/Content/themes/mobileslide/css/style.css?t=2020111702"" rel=""stylesheet"" type=""text/css""> <link href=""/Content/themes/mobileslide/css/swiper.css"" rel=""stylesheet"" type=""text/css""> <link href=""/Content/themes/mobileslide/css/showimg.css?t=20181020"" rel=""stylesheet"" type=""text/css""> <!--[if lt IE 9]> <link rel=""stylesheet"" type=""text/css"" href=""/Content/themes/mobileslide/css/ie.css""> <![endif]--> <script type=""text/javascript""> var webd=""/""; var paperweburl=""http://szb.cnssiot.cn/""; var pagepic=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326""; var pwidth=410; var banpre=""no""; var bannext=""/content/2021-12/25/edition333_A2.html""; var ismove=1; var jqueryfile=webd+""Comja/jquery-1.12.4.min.js""; var allpagefile=webd+""api/Pagelist/48""; var maphifile=webd+""Comja/jquery.maphilight.js?t=2018101902""; </script> <script type=""text/javascript"" src=""/Comja/pubmobile.js""></script> <script type=""text/javascript""> var pcurl=paperweburl; //refertopc(pcurl); </script> <style type=""text/css""> .bkimg{min-height:142vw;height:auto!important;height:142vw;} #zoomtu img{width:auto;left:0%;} @media screen and (min-width:1024px){ .bkimg{min-height:1536px;height:auto!important;height:1536px;} } </style> </head> <body> <div class=""main"" > <div class=""line1""></div> <div class=""clear""></div> <div class=""navbar"" id=""navbar-main""> <div id=""sidebar-main-trigger"" class=""banlist"" title=""版面""> <span class=""ico-bars""></span><div class=""curpagetitle"">第<div class=""pagetitle"">A1</div>版</div> </div> <div class=""icon review"" title=""关于"" id=""top_about""><span class=""ico-plus""></span></div> <div"
mobile202112245170816f8aaf438f9a1a9119831a2eab,6537,"/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" /><map id=""usemap"" name=""usemap""> <area shape=""rect"" alt=""2021，小小少年们的暖心时刻"" coords=""7,110,406,583"" href=""/content/2021-12/25/001051.html"" id=""area_list_1051"" target=""_self"" /> </map></p><script type=""text/javascript"" src=""/jquery/readtitle""></script> </div> </div> </div> <!-- Add Arrows --> <div class=""swiper-button-next""></div> <div class=""swiper-button-prev""></div> </div> <div class=""clear""></div> <div class=""clear""></div> <div class=""clear""></div> <div class=""foot""> <p>&copy; 2021 齐鲁少年</p> <p style=""margin-top:6px;""><a href=""javascript:void(0);"" rel=""nofollow"" id=""toTop"" class=""gotop"">&uarr; TOP</a></p> <br> </div> <div class=""datenone"" id=""wrap2""></div> <div class=""handHelp"" ><div class=""handSwipeHelp_Left"" style=""position: absolute; width: 137px; height: 150px;""><img src=""/Content/themes/mobileslide/images/help.png"" style=""position: absolute;""></div></div> </div> <div class=""banpagezoom circle"" id=""banpagezoom""><span class=""icon-enlarge""></span><span class=""icon-shrink""></span></div> <div id=""alltitle"" styl"
edition326_A1,5346,"alendar"" class=""clearfix""><h2>齐鲁少年</h2></div> </div> </div> <div class=""nav_list seeno"" id=""about_list""> <dl> <dt><a href=""/"">首页</a></dt> <dt><a href=""/review"">往刊回顾</a></dt> <dt><a href=""/Search/Advanced"">内容检索</a></dt> <!-- <dd> <a href=""/review?y=2017"">2017</a> <a href=""/review?y=2018"">2018</a> <a href=""/review?y=2019"">2019</a> </dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f"
edition333_A2,1340,"t=""齐鲁少年""> <meta name=""description"" content=""齐鲁少年""> <meta content=""always"" name=""referrer"" > <link rel=""canonical"" href=""http://szb.cnssiot.cn/"" > <link href=""/Content/themes/mobileslide/css/style.css?t=2020111702"" rel=""stylesheet"" type=""text/css""> <link href=""/Content/themes/mobileslide/css/swiper.css"" rel=""stylesheet"" type=""text/css""> <link href=""/Content/themes/mobileslide/css/showimg.css?t=20181020"" rel=""stylesheet"" type=""text/css""> <!--[if lt IE 9]> <link rel=""stylesheet"" type=""text/css"" href=""/Content/themes/mobileslide/css/ie.css""> <![endif]--> <script type=""text/javascript""> var webd=""/""; var paperweburl=""http://szb.cnssiot.cn/""; var pagepic=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326""; var pwidth=410; var banpre=""no""; var bannext=""/content/2021-12/25/edition333_A2.html""; var ismove=1; var jqueryfile=webd+""Comja/jquery-1.12.4.min.js""; var allpagefile=webd+""api/Pagelist/48""; var maphifile=webd+""Comja/jquery.maphilight.js?t=2018101902""; </script> <script type=""text/javascript"" src=""/Comja/pubmobile.js""></script> <script type=""text/javascript""> var pcurl=paperweburl; //refertopc(pcurl); </script> <style type=""text/css""> .bkimg{min-height:142vw;height:auto!important;height:142vw;} #zoomtu img{width:auto;left:0%;} @media screen and (min-width:1024px){ .bkimg{min-height:1536px;height:auto!important;height:1536px;} } </style> </head> <body> <div class=""main"" > <div class=""line1""></div> <div class=""clear""></div> <div class=""navbar"" id=""navbar-main""> <div id=""sidebar-main-trigger"" class=""banlist"" title=""版面""> <span class=""ico-bars""></span><div class=""curpagetitle"">第<div class=""pagetitle"">A1</div>版</div> </div> <div class=""icon review"" title=""关于"" id=""top_about""><span class=""ico-plus""></span></div> <div class=""icon date"" id=""showdate"" title=""日历""><span class=""ico-date""></span></div> <div class=""icon title"""
edition333_A2,5418,"ass=""nav_list seeno"" id=""about_list""> <dl> <dt><a href=""/"">首页</a></dt> <dt><a href=""/review"">往刊回顾</a></dt> <dt><a href=""/Search/Advanced"">内容检索</a></dt> <!-- <dd> <a href=""/review?y=2017"">2017</a> <a href=""/review?y=2018"">2018</a> <a href=""/review?y=2019"">2019</a> </dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" />"
edition327_A3,5492,"首页</a></dt> <dt><a href=""/review"">往刊回顾</a></dt> <dt><a href=""/Search/Advanced"">内容检索</a></dt> <!-- <dd> <a href=""/review?y=2017"">2017</a> <a href=""/review?y=2018"">2018</a> <a href=""/review?y=2019"">2019</a> </dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" /><map id=""usemap"" name=""usemap""> <area shape=""rect"" alt=""2021，小小少年们的暖心时刻"""
edition328_A4,5566,"ref=""/Search/Advanced"">内容检索</a></dt> <!-- <dd> <a href=""/review?y=2017"">2017</a> <a href=""/review?y=2018"">2018</a> <a href=""/review?y=2019"">2019</a> </dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" /><map id=""usemap"" name=""usemap""> <area shape=""rect"" alt=""2021，小小少年们的暖心时刻"" coords=""7,110,406,583"" href=""/content/2021-12/25/001051.html"" id=""area_lis"
edition329_A5,5638,"ref=""/review?y=2017"">2017</a> <a href=""/review?y=2018"">2018</a> <a href=""/review?y=2019"">2019</a> </dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" /><map id=""usemap"" name=""usemap""> <area shape=""rect"" alt=""2021，小小少年们的暖心时刻"" coords=""7,110,406,583"" href=""/content/2021-12/25/001051.html"" id=""area_list_1051"" target=""_self"" /> </map></p><script type=""text/javascript"" src="
edition330_A6,5712,"""/review?y=2018"">2018</a> <a href=""/review?y=2019"">2019</a> </dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" /><map id=""usemap"" name=""usemap""> <area shape=""rect"" alt=""2021，小小少年们的暖心时刻"" coords=""7,110,406,583"" href=""/content/2021-12/25/001051.html"" id=""area_list_1051"" target=""_self"" /> </map></p><script type=""text/javascript"" src=""/jquery/readtitle""></script> </div> </div>"
edition331_A7,5784,"</dd> --> <dt><a href=""/about/aboutus"">关于我们</a></dt> <dt><a href=""/about/contribute"">在线投稿</a></dt> </dl> </div><!--nav_list--> <div class=""clear""></div> <div class=""sidebar"" id=""sidebar-main""> <div class=""wrapper""> <div class=""line1""></div> <h3>版面导航</h3> <nav> <ul> <li class=""selected""><a href=""/content/2021-12/25/edition326_A1.html"">第A1版：深度报道</a></li><li ><a href=""/content/2021-12/25/edition333_A2.html"">第A2版：习作天地二版</a></li><li ><a href=""/content/2021-12/25/edition327_A3.html"">第A3版：习作天地三版</a></li><li ><a href=""/content/2021-12/25/edition328_A4.html"">第A4版：成长乐园</a></li><li ><a href=""/content/2021-12/25/edition329_A5.html"">第A5版：小记者俱乐部</a></li><li ><a href=""/content/2021-12/25/edition330_A6.html"">第A6版：家长社区</a></li><li ><a href=""/content/2021-12/25/edition331_A7.html"">第A7版：实践大课堂</a></li><li ><a href=""/content/2021-12/25/edition332_A8.html"">第A8版：故事连载</a></li> </ul> </nav> </div> </div> <div class=""pagemu datenone"" id=""pagemu""> <p class=""mutitle"">第A1版：深度报道</p> <p><a href=""/content/2021-12/25/001051.html"">2021，小小少年们的暖心时刻</a></p> <div class=""clear""></div> </div> <input type=""hidden"" name=""cureditionid"" id=""cureditionid"" value=""326""> <div class=""swiper-container pagepic"" id=""swiperlist""> <div class=""swiper-wrapper"" > <div class=""swiper-slide"" id=""curslide""> <div class=""bkimg loading""> <p><img usemap=""#usemap"" id=""editionimg"" src=""http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326"" border=""0"" alt=""齐鲁少年深度报道"" /><map id=""usemap"" name=""usemap""> <area shape=""rect"" alt=""2021，小小少年们的暖心时刻"" coords=""7,110,406,583"" href=""/content/2021-12/25/001051.html"" id=""area_list_1051"" target=""_self"" /> </map></p><script type=""text/javascript"" src=""/jquery/readtitle""></script> </div> </div> </div> <!-- Add Arrows -->"
